Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
1081	0.58225	2.65054E+17
1082	0.587875	2.65374E+17
1083	0.592625	2.65697E+17
1084	0.58125	2.66014E+17
1085	0.58525	2.66334E+17
1086	0.559375	2.66639E+17
1087	0.56675	2.66949E+17
1088	0.586125	2.6727E+17
1089	0.576625	2.67586E+17
1090	0.561125	2.67894E+17
1091	0.582	2.68213E+17
1092	0.572	2.68527E+17
1093	0.5215	2.68814E+17
1094	0.532	2.69107E+17
1095	0.51925	2.69393E+17
1096	0.5135	2.69676E+17
1097	0.55825	2.69984E+17
1098	0.511875	2.70267E+17
1099	0.50275	2.70545E+17
1100	0.48825	2.70815E+17
1101	0.491	2.71087E+17
1102	0.471125	2.71348E+17
1103	0.4655	2.71607E+17
1104	0.47075	2.71868E+17
1105	0.486625	2.72139E+17
1106	0.421125	2.72373E+17
1107	0.462875	2.72631E+17
1108	0.42225	2.72866E+17
1109	0.4205	2.73101E+17
1110	0.451375	2.73353E+17
1111	0.3595	2.73554E+17
1112	0.383875	2.73769E+17
1113	0.289875	2.73931E+17
1114	0.288875	2.74093E+17
1115	0.24925	2.74233E+17
1116	0.1918	2.7434E+17
1117	0.1118	2.74403E+17
1118	0.1868	2.74508E+17
1119	0.129625	2.74581E+17
1120	0.14375	2.74662E+17
1121	0.166675	2.74756E+17
1122	0.100175	2.74813E+17
1123	0.119675	2.7488E+17
1124	0.115	2.74945E+17
1125	0.127925	2.75018E+17
1126	0.076175	2.75061E+17
1127	0.1365375	2.75138E+17
1128	0.10705	2.75199E+17
1129	0.1006625	2.75256E+17
1130	0.102925	2.75315E+17
1131	0.259175	2.75462E+17
1132	0.23075	2.75594E+17
1133	0.149075	2.75679E+17
1134	0.05225	2.75708E+17
1135	0.03275	2.75727E+17
1136	0.1338	2.75804E+17
1137	0.256625	2.7595E+17
1138	0.225375	2.76079E+17
1139	0.28075	2.7624E+17
1140	0.252625	2.76385E+17
1141	0.204625	2.76503E+17
1142	0.231	2.76635E+17
1143	0.275375	2.76794E+17
1144	0.141875	2.76875E+17
1145	0.14325	2.76958E+17
1146	0.143375	2.77041E+17
1147	0.097625	2.77097E+17
1148	0.237125	2.77234E+17
1149	0.212375	2.77357E+17
1150	0.143375	2.7744E+17
1151	0.19825	2.77554E+17
1152	0.24025	2.77694E+17
1153	0.226375	2.77825E+17
1154	0.175125	2.77927E+17
1155	0.28675	2.78093E+17
1156	0.28825	2.78261E+17
1157	0.309375	2.78441E+17
1158	0.3145	2.78624E+17
1159	0.326625	2.78815E+17
1160	0.299875	2.7899E+17
1161	0.339625	2.79188E+17
1162	0.3635	2.794E+17
1163	0.444	2.7966E+17
1164	0.407625	2.79899E+17
1165	0.387875	2.80126E+17
1166	0.380125	2.80349E+17
1167	0.40575	2.80588E+17
1168	0.417375	2.80833E+17
1169	0.425875	2.81083E+17
1170	0.451375	2.81349E+17
1171	0.449125	2.81614E+17
1172	0.45325	2.81881E+17
1173	0.44	2.8214E+17
1174	0.36525	2.82356E+17
1175	0.439625	2.82616E+17
1176	0.4715	2.82895E+17
1177	0.4575	2.83166E+17
1178	0.388375	2.83396E+17
1179	0.46125	2.8367E+17
1180	0.44625	2.83935E+17
1181	0.435625	2.84193E+17
1182	0.352875	2.84403E+17
1183	0.420375	2.84653E+17
1184	0.419625	2.84903E+17
1185	0.416375	2.85152E+17
1186	0.4645	2.85429E+17
1187	0.44175	2.85693E+17
1188	0.359125	2.85907E+17
1189	0.410625	2.86153E+17
1190	0.45325	2.86424E+17
